method,distance_m,base_date,target_date,horizon_days,base_bed_elevation_m,central_daily_rate_m,central_bed_elevation_m,central_change_m,scenario_1_bed_elevation_m,scenario_2_bed_elevation_m,sensitivity_lower_bed_elevation_m,sensitivity_upper_bed_elevation_m
linear,1840.0,2023-02-26,2033-02-26,3653,41.693333333333335,-0.0021882997730455446,33.69947426239796,-7.9938590709353745,35.313413154533784,32.13933333333333,32.13933333333333,35.313413154533784
linear,1845.0,2023-02-26,2033-02-26,3653,41.67666666666667,-0.002004442512917089,34.35443816698054,-7.322228499686126,35.93823754789267,32.82343209876549,32.82343209876549,35.93823754789267
linear,1850.0,2023-02-26,2033-02-26,3653,41.66,-0.0018595779612728836,34.86696170747015,-6.793038292529844,36.388109833971825,33.39651851851854,33.39651851851854,36.388109833971825
linear,1855.0,2023-02-26,2033-02-26,3653,41.641666666666666,-0.001743686319957514,35.271980539861865,-6.369686126804798,36.836315453384415,33.75979012345674,33.75979012345674,36.836315453384415
linear,1860.0,2023-02-26,2033-02-26,3653,41.62083333333334,-0.0016529045342604783,35.58277306967981,-6.038060263653527,37.28202107279691,33.94016666666661,33.94016666666661,37.28202107279691
linear,1865.0,2023-02-26,2033-02-26,3653,41.6,-0.0016625621710367657,35.526660389202696,-6.073339610797305,37.727726692209394,33.39896296296289,33.39896296296289,37.727726692209394
linear,1870.0,2023-02-26,2033-02-26,3653,41.579166666666666,-0.0016722198078130265,35.47054770872568,-6.108618957940986,38.17343231162198,32.857759259259254,32.857759259259254,38.17343231162198
linear,1875.0,2023-02-26,2033-02-26,3653,41.55833333333334,-0.0015701247904637723,35.82266747376918,-5.73566585956416,38.72680076628354,33.015338624338625,33.015338624338625,38.72680076628354
linear,1880.0,2023-02-26,2033-02-26,3653,41.5375,-0.0013993915688831021,36.42552259887003,-5.111977401129972,38.97512452107277,33.960907407407376,33.960907407407376,38.97512452107277
linear,1885.0,2023-02-26,2033-02-26,3653,41.516666666666666,-0.001228658347302432,37.028377723970884,-4.4882889426957835,39.223448275862005,34.906476190476134,34.906476190476134,39.223448275862005
linear,1890.0,2023-02-26,2033-02-26,3653,41.5,-0.001065168353303947,37.60894000538068,-3.8910599946193187,39.66050355774493,35.6257619047619,35.6257619047619,39.66050355774493
linear,1895.0,2023-02-26,2033-02-26,3653,41.5,-0.0008057918227409902,38.55644247152716,-2.9435575284728372,40.62690567414701,36.55499470899464,36.55499470899464,40.62690567414701
linear,1900.0,2023-02-26,2033-02-26,3653,41.5,-0.0005174423818491707,39.60978297910498,-1.8902170208950204,41.59330779054918,37.69237566137558,37.69237566137558,41.59330779054918
linear,1905.0,2023-02-26,2033-02-26,3653,41.481818181818184,-0.00041431261770245945,39.9683341893511,-1.5134839924670844,42.04166492511319,37.96411447811441,37.96411447811441,42.04166492511319
linear,1910.0,2023-02-26,2033-02-26,3653,41.45909090909091,-0.0003515379786566375,40.17492267305821,-1.284168236032697,42.485476605131744,37.94138720538714,37.94138720538714,42.485476605131744
linear,1915.0,2023-02-26,2033-02-26,3653,41.4375,-0.0003022150479777698,40.33350842973721,-1.1039915702627932,43.130369914249236,37.62987566137558,37.62987566137558,43.130369914249236
linear,1920.0,2023-02-26,2033-02-26,3653,41.416666666666664,-0.0002394404089319345,40.54199085283831,-0.8746758138283568,44.07593869731807,37.1258412698412,37.1258412698412,44.07593869731807
linear,1925.0,2023-02-26,2033-02-26,3653,41.345454545454544,-0.00023944040893192112,40.47077873162623,-0.8746758138283078,44.5045897397622,36.571428090428135,36.571428090428135,44.5045897397622
linear,1930.0,2023-02-26,2033-02-26,3653,41.07272727272728,-0.0002461662631154116,40.17348191356668,-0.8992453591605986,44.281848783400534,36.20206060606062,36.20206060606062,44.281848783400534
linear,1935.0,2023-02-26,2033-02-26,3653,40.800000000000004,-0.0002797955340328105,39.777906914178146,-1.0220930858218567,43.75918992884518,35.929333333333346,35.929333333333346,43.75918992884518
linear,1940.0,2023-02-26,2033-02-26,3653,40.57272727272728,-0.00026634382566585626,39.5997732775699,-0.9729539951573729,43.63188983430365,35.70206060606062,35.70206060606062,43.63188983430365
linear,1945.0,2023-02-26,2033-02-26,3653,40.34545454545455,-0.00028797865662271674,39.293468512811764,-1.0519860326427843,43.61705895158482,35.11399775533114,35.11399775533114,43.61705895158482
linear,1950.0,2023-02-26,2033-02-26,3653,40.2,-0.00021539548022599353,39.41316031073445,-0.7868396892655544,43.69029454022989,35.27859722222218,35.27859722222218,43.69029454022989
linear,1955.0,2023-02-26,2033-02-26,3653,40.075,-7.219083490270056e-05,39.81128688010044,-0.26371311989956514,43.78398467432941,35.97101234567909,35.97101234567909,43.78398467432941
linear,1960.0,2023-02-26,2033-02-26,3653,39.945454545454545,8.866917765224152e-05,40.26936305141818,0.3239085059636383,44.004343434343426,36.65888201459045,36.65888201459045,44.004343434343426
