model,shift,distance_m,base_bed_elevation_m,forecast_2033_bed_elevation_m,ten_year_change_m,development_coefficient_a,abs_a_lt_0_3,level_ratio_pass,in_sample_mae
annualized,3.0,1880.0,41.53515625,293.67843167096385,252.14327542096382,-0.3075457460880569,False,False,0.24939706439924025
annualized,3.0,1885.0,41.50925925925927,308.94413095551454,267.43487169625524,-0.3143884415132003,False,False,0.22826429887699967
annualized,3.0,1890.0,41.5,316.1161109931113,274.6161109931113,-0.31793201919336955,False,False,0.21252755833175768
annualized,3.0,1895.0,41.5,334.77731202793643,293.27731202793643,-0.3266181285115386,False,False,0.17592281956009512
annualized,3.0,1900.0,41.5,348.1472325393985,306.6472325393985,-0.3324176604815996,False,False,0.1530405755491948
annualized,3.0,1905.0,41.48900067552012,334.54155530210693,293.0525546265868,-0.32592576227803854,False,False,0.18428874501229667
annualized,3.0,1910.0,41.46018235253434,315.83415369762594,274.3739713450916,-0.3164640283906578,False,False,0.23180994838232521
annualized,3.0,1915.0,41.43925559359996,296.3691673481188,254.92991175451888,-0.30589618647699485,False,False,0.28746324007827806
annualized,3.0,1920.0,41.423032546285256,274.11914312772456,232.6961105814393,-0.29304849650483444,True,False,0.3562945296680676
annualized,3.0,1925.0,41.383644762335045,259.62409510029016,218.2404503379551,-0.2847067467065593,True,False,0.3963140857986801
annualized,3.0,1930.0,41.123250764839916,255.2463511574625,214.12310039262258,-0.28244408789420117,True,False,0.40508743790585355
annualized,3.0,1935.0,40.800000000000004,259.5462884772901,218.74628847729008,-0.28516884974218093,True,False,0.3923151037256753
annualized,3.0,1940.0,40.550389846764496,252.831664480169,212.2812746334045,-0.2812266452038039,True,False,0.41213234555478084
annualized,3.0,1945.0,40.33431950215053,246.39966375837002,206.0653442562195,-0.2777400441722244,True,False,0.42538647858319034
annualized,3.0,1950.0,40.18783526435339,235.90628167105515,195.71844640670176,-0.27112278928667644,True,False,0.4582316607607466
annualized,3.0,1955.0,40.07270266460046,231.9729643487301,191.90026168412965,-0.2686765468447445,True,False,0.46966505671996694
annualized,3.0,1960.0,39.945397244673764,220.47229080437467,180.5268935597009,-0.2603956126562605,True,False,0.5177205258139531
annualized,3.0,1965.0,39.80133779511371,206.25123787969991,166.4499000845862,-0.24955699037577544,True,False,0.5816789757192669
annualized,3.0,1970.0,39.67837178364891,191.1542431142617,151.4758713306128,-0.23694154556018202,True,False,0.660848511492484
annualized,3.0,1975.0,39.57846070072168,182.36876225973953,142.79030155901785,-0.22928834178696952,True,False,0.7083056842651148
annualized,3.0,1980.0,39.5,179.24535330875904,139.74535330875904,-0.22646385810294759,True,False,0.7266760790795859
annualized,3.0,1985.0,39.433944954128435,179.08959314422347,139.65564819009504,-0.22543504782815468,True,False,0.7453453407847154
