model,shift,year,distance_m,annual_change_m,cumulative_change_m,bed_elevation_m
annualized,5.0,2032,1900.0,27.091284266477317,105.04314360116643,146.54314360116643
annualized,5.0,2033,1900.0,33.979664338796994,139.02280793996343,180.52280793996343
annualized,5.0,2023,1905.0,0.0,0.0,41.48900067552012
annualized,5.0,2024,1905.0,1.8010792266855873,1.8010792266855873,43.290079902205704
annualized,5.0,2025,1905.0,3.2450051824465724,5.04608440913216,46.53508508465228
annualized,5.0,2026,1905.0,4.995488685359703,10.041573094491863,51.53057377001198
annualized,5.0,2027,1905.0,7.117614464556041,17.159187559047904,58.648188234568025
annualized,5.0,2028,1905.0,9.690285281067588,26.849472840115492,68.33847351563561
annualized,5.0,2029,1905.0,12.809155611476058,39.658628451591554,81.14762912711167
annualized,5.0,2030,1905.0,16.590188177116175,56.24881662870773,97.73781730422785
annualized,5.0,2031,1905.0,21.17396555415081,77.42278218285854,118.91178285837866
annualized,5.0,2032,1905.0,26.730917174496795,104.15369935735534,145.64270003287544
annualized,5.0,2033,1905.0,33.467656062728594,137.62135542008394,179.11035609560406
annualized,5.0,2023,1910.0,0.0,0.0,41.46018235253434
annualized,5.0,2024,1910.0,1.8428784218578897,1.8428784218578897,43.30306077439223
annualized,5.0,2025,1910.0,3.2715135677144858,5.1143919895723755,46.574574342106715
annualized,5.0,2026,1910.0,4.998414772698652,10.112806762271028,51.57298911480537
annualized,5.0,2027,1910.0,7.085853108809104,17.19865987108013,58.65884222361447
annualized,5.0,2028,1910.0,9.609100411253081,26.807760282333213,68.26794263486755
annualized,5.0,2029,1910.0,12.659143537870193,39.466903820203406,80.92708617273775
annualized,5.0,2030,1910.0,16.345965303304695,55.8128691235081,97.27305147604244
annualized,5.0,2031,1910.0,20.802510396540015,76.61537952004812,118.07556187258245
annualized,5.0,2032,1910.0,26.189479290518733,102.80485881056686,144.2650411631012
annualized,5.0,2033,1910.0,32.70112300949398,135.50598182006084,176.96616417259517
annualized,5.0,2023,1915.0,0.0,0.0,41.43925559359996
annualized,5.0,2024,1915.0,1.889405053804623,1.889405053804623,43.32866064740458
annualized,5.0,2025,1915.0,3.29918198909526,5.188587042899883,46.62784263649984
annualized,5.0,2026,1915.0,4.997441165124513,10.186028208024396,51.625283801624356
annualized,5.0,2027,1915.0,7.043214618194206,17.229242826218602,58.66849841981856
annualized,5.0,2028,1915.0,9.507614092878768,26.73685691909737,68.17611251269733
annualized,5.0,2029,1915.0,12.47630290918562,39.21315982828299,80.65241542188295
annualized,5.0,2030,1915.0,16.052473647167815,55.265633475450805,96.70488906905076
annualized,5.0,2031,1915.0,20.360435154265005,75.6260686297158,117.06532422331577
annualized,5.0,2032,1915.0,25.549933560905004,101.1760021906208,142.61525778422077
annualized,5.0,2033,1915.0,31.801357504259983,132.9773596948808,174.41661528848076
annualized,5.0,2023,1920.0,0.0,0.0,41.423032546285256
annualized,5.0,2024,1920.0,1.9364883014106056,1.9364883014106056,43.35952084769586
annualized,5.0,2025,1920.0,3.31752093898573,5.254009240396336,46.67704178668159
annualized,5.0,2026,1920.0,4.973512758090763,10.227521998487099,51.650554544772355
annualized,5.0,2027,1920.0,6.9592072524351565,17.186729250922255,58.60976179720751
